Ref,Val,Package,PosX,PosY,Rot,Side
"U68","MCP1824T-1202E/OT","SOT-23-5",224.050545,-162.028642,90.000000,bottom
"U69","MCP1824T-0802E","SOT-23-5",224.090545,-184.728642,90.000000,bottom
"U70","MCP1824T-0802E","SOT-23-5",224.090545,-171.018642,90.000000,bottom
"U71","MCP1824T-0802E","SOT-23-5",224.050545,-157.128642,90.000000,bottom
"C1","0.022uF","C_0402_1005Metric",176.250000,-97.000000,0.000000,top
"C2","0.1uF","C_0805_2012Metric",170.890000,-94.360000,-90.000000,top
"C3","4.7uF","C_0805_2012Metric",162.040000,-94.470000,90.000000,top
"C4","100uF","PCAP_SVP_E7_PAN",174.992300,-104.730000,0.000000,top
"C7","4.7nF","C_0402_1005Metric",174.880000,-113.610000,0.000000,top
"C8","1uF","C_0402_1005Metric",170.540000,-114.370000,0.000000,top
"C9","4.7uF","C_0402_1005Metric",168.533398,-115.448045,0.000000,top
"C10","1uF","C_0402_1005Metric",174.910000,-114.660000,0.000000,top
"C11","2.2nF","C_0402_1005Metric",174.920000,-115.710000,0.000000,top
"C12","1uF","C_0402_1005Metric",168.270000,-125.440000,-90.000000,top
"C13","0.1uF","C_0402_1005Metric",169.510000,-125.440000,-90.000000,top
"C14","1000pF","C_0805_2012Metric",185.110000,-121.460000,0.000000,top
"C15","100pF","C_0402_1005Metric",165.530000,-118.880000,0.000000,top
"C16","68uF","C_1206_3216Metric",189.355000,-135.770000,180.000000,top
"C17","68uF","C_1206_3216Metric",189.355000,-133.266000,180.000000,top
"C18","68uF","C_1206_3216Metric",189.355000,-130.762000,180.000000,top
"C19","68uF","C_1206_3216Metric",189.355000,-128.258000,180.000000,top
"C20","68uF","C_1206_3216Metric",189.355000,-125.754000,180.000000,top
"C21","0.1uF","C_0402_1005Metric",230.300000,-139.360000,90.000000,top
"C22","0.1uF","C_0402_1005Metric",231.580000,-137.670000,180.000000,top
"C24","0.1uF","C_0402_1005Metric",129.375000,-180.241142,180.000000,top
"C25","68uF","C_1206_3216Metric",189.355000,-123.250000,180.000000,top
"C26","1uF","C_0402_1005Metric",229.890000,-98.640000,180.000000,top
"C27","22uF","C_1210_3225Metric",157.665000,-118.745000,180.000000,top
"C28","22uF","C_1210_3225Metric",157.665000,-104.990000,180.000000,top
"C29","22uF","C_1210_3225Metric",157.665000,-101.551250,180.000000,top
"C30","22uF","C_1210_3225Metric",157.665000,-98.112500,180.000000,top
"C31","22uF","C_1210_3225Metric",174.775000,-111.100000,0.000000,top
"C32","0.1uF","C_0402_1005Metric",227.220000,-143.290000,0.000000,top
"C33","100pF","C_0402_1005Metric",226.110000,-147.785732,180.000000,top
"C34","22uF","C_1210_3225Metric",157.665000,-115.306250,180.000000,top
"C35","22uF","C_1210_3225Metric",157.665000,-111.867500,180.000000,top
"C36","22uF","C_1210_3225Metric",157.665000,-108.428750,180.000000,top
"C37","47uF","C_1210_3225Metric",189.395000,-145.640000,0.000000,top
"C38","47uF","C_1210_3225Metric",189.285000,-138.760000,0.000000,top
"C39","47uF","C_1210_3225Metric",189.285000,-142.210000,0.000000,top
"C90","1uF","C_0402_1005Metric",227.709411,-90.850589,-135.000000,top
"C96","30pF","C_0402_1005Metric",223.670807,-105.330000,-90.000000,top
"C97","30pF","C_0402_1005Metric",218.900807,-104.185000,90.000000,top
"C98","1uF","C_0402_1005Metric",238.138700,-93.240000,90.000000,top
"C99","0.1uF","C_0402_1005Metric",217.570000,-89.550000,0.000000,top
"C100","0.1uF","C_0402_1005Metric",219.800807,-90.770000,0.000000,top
"C101","0.1uF","C_0402_1005Metric",225.718700,-91.325000,180.000000,top
"C102","1uF","C_0402_1005Metric",225.100807,-105.320000,90.000000,top
"C103","1uF","C_0402_1005Metric",227.500000,-98.000000,180.000000,top
"C104","0.1uF","C_0402_1005Metric",227.420000,-93.870000,180.000000,top
"C105","0.1uF","C_0402_1005Metric",225.450000,-102.980000,90.000000,top
"C106","0.1uF","C_0402_1005Metric",226.790000,-102.930000,90.000000,top
"C107","0.1uF","C_0402_1005Metric",214.720000,-98.940000,90.000000,top
"C108","0.1uF","C_0402_1005Metric",226.843700,-92.400000,180.000000,top
"C109","0.1uF","C_0402_1005Metric",216.602500,-94.117500,0.000000,top
"C110","0.1uF","C_0402_1005Metric",219.800807,-89.770000,0.000000,top
"D1","SMBJ30CA","D_SMB",175.807500,-92.780000,180.000000,top
"D5","SMAJ6.0A","D_SMB",234.222500,-87.300000,0.000000,top
"EXTRA1","70x90mm Heatsink","70x90mm_heatsink",171.080000,-174.540000,0.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",124.510000,-95.510000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",126.760000,-194.510000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",231.410000,-197.610000,0.000000,top
"J1","Screw Terminal","7790-RA-screw-terminal",166.450000,-86.000000,-90.000000,top
"J2","Screw Terminal","7790-RA-screw-terminal",187.016378,-86.000000,-90.000000,top
"J3","Conn_01x01","5x9_powertab",148.880545,-166.636142,0.000000,top
"J4","Conn_01x01","5x9_powertab",148.880545,-180.326142,0.000000,top
"J5","Conn_01x01","5x9_powertab",170.410545,-180.336142,0.000000,top
"J6","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",221.948700,-82.390000,180.000000,top
"J7","Conn_01x01","5x9_powertab",170.420545,-166.656142,0.000000,top
"J8","Conn_01x01","5x9_powertab",191.920545,-166.656142,0.000000,top
"J9","Conn_01x01","5x9_powertab",191.920545,-180.346142,0.000000,top
"J10","Conn_01x01","5x9_powertab",213.470545,-180.436142,0.000000,top
"J11","Conn_01x01","5x9_powertab",213.470545,-166.746142,0.000000,top
"J20","Conn_01x06","PinHeader_1x08_P2.54mm_Vertical",146.090000,-88.180000,-90.000000,top
"L1","740nH","IND_XAL1580-741MED",178.470000,-130.725900,-90.000000,top
"NT1","NetTie_2","NetTie-0.25mm",168.040000,-119.690000,180.000000,top
"Q1","NVMFS5C645NLAFT1G","DIO_NTS1045EMFST1G",166.490500,-96.203000,-90.000000,top
"R1","4.7k","R_0402_1005Metric",228.540000,-105.380000,90.000000,top
"R2","1k","R_0402_1005Metric",230.380000,-104.970000,180.000000,top
"R4","10k","R_0402_1005Metric",168.520000,-114.360000,0.000000,top
"R5","10k","R_0402_1005Metric",226.760000,-105.360000,90.000000,top
"R6","10","R_0402_1005Metric",171.690000,-115.580000,180.000000,top
"R7","1","R_0805_2012Metric",188.060000,-120.272500,90.000000,top
"R8","49.9","R_0402_1005Metric",164.930000,-120.410000,90.000000,top
"R9","49.9","R_0402_1005Metric",166.060000,-120.410000,-90.000000,top
"R19","4.7k","R_0402_1005Metric",215.690000,-102.710000,-90.000000,top
"R20","4.7k","R_0402_1005Metric",214.310000,-102.680000,90.000000,top
"R34","49.9k","R_0402_1005Metric",209.860000,-90.070000,90.000000,top
"R35","10k","R_0402_1005Metric",227.210000,-142.070000,0.000000,top
"R50","10k","R_0402_1005Metric",212.630000,-90.070000,-90.000000,top
"R51","5.1k","R_0402_1005Metric",228.188700,-83.400000,90.000000,top
"R52","5.1k","R_0402_1005Metric",215.808700,-83.410000,90.000000,top
"R53","33","R_0402_1005Metric",222.550807,-90.270000,-90.000000,top
"R54","33","R_0402_1005Metric",223.650807,-90.270000,-90.000000,top
"R55","1k","R_0402_1005Metric",211.270000,-90.080000,90.000000,top
"R61","49.9","R_0402_1005Metric",226.650000,-149.495732,90.000000,top
"R69","1k","R_0402_1005Metric",236.030000,-148.190000,-90.000000,top
"R70","49.9","R_0402_1005Metric",225.580000,-149.505732,90.000000,top
"SW1","GT-TC029B-H025-L1N","SW_CS1213AGF260_CRS",212.210000,-86.040000,90.000000,top
"SW2","GT-TC029B-H025-L1N","SW_CS1213AGF260_CRS",205.310000,-86.040000,90.000000,top
"U1","AP74700Q","SOT-23-6",172.722500,-97.870000,180.000000,top
"U2","TPS546D24S","LQFN40-CLIP",171.060000,-119.450000,90.000000,top
"U3","TPS22919DCKR","DCK0006A_N",230.289999,-101.884998,-90.000000,top
"U4","SN74AVC4T774","TSSOP-16_4.4x5mm_P0.65mm",233.725000,-142.632500,90.000000,top
"U6","TMP1075","HVSSOP-8_3x3mm_P0.65mm",128.525000,-176.401142,-90.000000,top
"U8","W25Q16JVUXIQ TR","USON-8_UX_2x3x0p6_WIN",215.713007,-91.579999,0.000000,top
"U9","SK6812","LED-SMD_4P-L4.0-W1.6-L",232.680000,-83.880000,180.000000,top
"U10","TLV1117LV33DCYR","VREG_TLV1117LV33DCYR",233.898700,-94.080000,-90.000000,top
"U11","TPD1E05U06DYA","D_SOD-523",220.847500,-88.530000,180.000000,top
"U12","TPD1E05U06DYA","D_SOD-523",223.822500,-88.540000,0.000000,top
"U13","TMP451HQDQWRQ1","DQF0008A",227.130001,-145.030000,0.000000,top
"U27","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",222.120807,-96.997500,0.000000,top
"U45","BM1362AC_MODE1","BM1362AC",148.880545,-159.791142,0.000000,top
"U46","BM1362AC_MODE0","BM1362AC",148.880545,-173.481142,0.000000,top
"U47","BM1362AC_MODE1","BM1362AC",148.880545,-187.161142,0.000000,top
"U54","BM1362AC_MODE1","BM1362AC",170.410545,-187.171142,180.000000,top
"U55","BM1362AC_MODE0","BM1362AC",170.410545,-173.501142,180.000000,top
"U56","BM1362AC_MODE1","BM1362AC",170.430545,-159.821142,180.000000,top
"U63","BM1362AC_MODE1","BM1362AC",191.920545,-159.821142,0.000000,top
"U64","BM1362AC_MODE0","BM1362AC",191.920545,-173.501142,0.000000,top
"U65","BM1362AC_MODE1","BM1362AC",191.920545,-187.191142,0.000000,top
"U72","BM1362AC_MODE1","BM1362AC",213.470545,-187.281142,180.000000,top
"U73","BM1362AC_MODE0","BM1362AC",213.470545,-173.591142,180.000000,top
"U74","BM1362AC_MODE1","BM1362AC",213.470545,-159.911142,180.000000,top
"Y1","12MHz","XTAL_ECS-120-20-33-CKM-TR3",221.270807,-104.185000,90.000000,top
